"id","uniprot","main_gene","Protein.names","Gene.names","up_low_log2_rep1","up_low_log2_rep2","up_low_log2_rep3","down_high_log2_rep1","down_high_log2_rep2","down_high_log2_rep3","log2_avg_upfc","log2_avg_downfc","qVal","directionfc"
3842,"Q7L1Q6","BZW1","Basic leucine zipper and W2 domain-containing protein 1","BZW1",0.200901122,-0.138055713,-0.09038354,0.090934526,0.119676058,0.088777892,-0.001235427,0.099865067,1,"OTHER"
3843,"Q7L1T6","CYB5R4","Cytochrome b5 reductase 4","CYB5R4",0.259413868,0.153531987,-0.417031884,-0.080388526,-0.05112242,-0.080096448,0.027741696,-0.070470339,1,"OTHER"
3844,"Q7L1V2","MON1B","Vacuolar fusion protein MON1 homolog B","MON1B",0.314251029,-0.200825376,-0.160851521,-0.160120149,-0.039359551,0.033169402,0.003801591,-0.053246696,1,"OTHER"
3845,"Q7L273","KCTD9","BTB/POZ domain-containing protein KCTD9","KCTD9",0.337159912,-0.102306319,0.305651545,-0.043363844,-0.128370349,-0.16809181,0.193576888,-0.11233276,0.608851134,"OTHER"
3846,"Q7L2E3","DHX30","Putative ATP-dependent RNA helicase DHX30","DHX30",-0.398213358,-0.089879067,0.045639164,-0.120473813,-0.008783808,0.167917741,-0.1357766,0.01780381,1,"OTHER"
3847,"Q7L2H7","EIF3M","Eukaryotic translation initiation factor 3 subunit M","EIF3M",-0.047275103,-0.245951349,-0.28399897,-0.082590244,0.073982451,-0.08813015,-0.188620328,-0.030265513,1,"OTHER"
3848,"Q7L2J0","MEPCE","7SK snRNA methylphosphate capping enzyme","MEPCE",0.977438256,0.156896402,0.151145526,0.229025474,-0.061433615,0.367479181,0.483468612,0.18922407,0.798273914,"OTHER"
3849,"Q7L311","ARMCX2","Armadillo repeat-containing X-linked protein 2","ARMCX2",0.232520519,0.167022954,0.144112792,-0.036300266,0.06722561,0.16642235,0.181707264,0.068154588,1,"OTHER"
3850,"Q7L3B6","CDC37L1","Hsp90 co-chaperone Cdc37-like 1","CDC37L1",-0.116598654,-0.172284925,0.095447592,0.017902502,0.024623826,-0.449335359,-0.059799387,-0.119206883,1,"OTHER"
3851,"Q7L3T8","PARS2","Probable proline--tRNA ligase, mitochondrial","PARS2",-0.052340148,0.116869143,-0.029646951,-0.123502054,-0.099531161,-0.065686407,0.01359796,-0.096044705,1,"OTHER"
3853,"Q7L4I2","RSRC2","Arginine/serine-rich coiled-coil protein 2","RSRC2",1.062860494,0.183102771,0.013998289,0.361659896,0.048426283,-0.164598989,0.497107351,0.098157265,0.41895955,"OTHER"
3854,"Q7L523","RRAGA","Ras-related GTP-binding protein A","RRAGA",0.295142755,0.013903948,0.155510989,-0.232567015,0.185870434,0.033093633,0.159416709,0.005675958,1,"OTHER"
3855,"Q7L576","CYFIP1","Cytoplasmic FMR1-interacting protein 1","CYFIP1",-0.007517127,-0.02383306,0.007380043,-0.043848649,0.061392234,-0.043278174,-0.007933744,-0.00772306,1,"OTHER"
3856,"Q7L592","NDUFAF7","NADH dehydrogenase [ubiquinone] complex I, assembly factor 7","NDUFAF7",0.099930172,-0.104081929,0.001528779,-0.100958587,-0.077134792,-0.030946681,0.001527793,-0.06938655,1,"OTHER"
3857,"Q7L5D6","GET4","Golgi to ER traffic protein 4 homolog","GET4",0.203560586,-0.00332768,-0.075554532,0.023777704,-0.26756854,0.295777109,0.046472542,0.035568763,1,"OTHER"
3858,"Q7L5N1","COPS6","COP9 signalosome complex subunit 6","COPS6",0.041124938,-0.192976908,-0.226754423,0.087556786,-0.077323783,0.042399571,-0.121198937,0.019207853,1,"OTHER"
3859,"Q7L5N7","LPCAT2","Lysophosphatidylcholine acyltransferase 2","LPCAT2",0.434081093,0.209228826,0.097419442,-0.197475376,-0.202582113,0.468179711,0.253778812,0.058631489,0.907757451,"OTHER"
3860,"Q7L5Y1","ENOSF1","Mitochondrial enolase superfamily member 1","ENOSF1",-0.056769854,0.101823281,0.084740533,-0.10967459,-0.082546206,0.089175853,0.044995605,-0.031627146,1,"OTHER"
3861,"Q7L5Y9","MAEA","Macrophage erythroblast attacher","MAEA",0.468058211,-0.300557056,0.173328762,0.14711333,0.018860256,0.02421585,0.147455465,0.064624052,1,"OTHER"
3862,"Q7L775","EPM2AIP1","EPM2A-interacting protein 1","EPM2AIP1",0.0215107,-0.143035648,0.026696154,0.153019628,-0.082223874,-0.26778279,-0.029484964,-0.055346518,1,"OTHER"
3863,"Q7L7V1","DHX32","Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32","DHX32",0.070501798,-0.362799716,0.054262306,-0.003089241,-0.101159925,0.25207531,-0.065891733,0.057075044,1,"OTHER"
3864,"Q7L7X3","TAOK1","Serine/threonine-protein kinase TAO1","TAOK1",0.046060521,0.240529825,0.150015616,-0.029935636,-0.086217537,0.054148505,0.147719055,-0.019511865,1,"OTHER"
3865,"Q7L804","RAB11FIP2","Rab11 family-interacting protein 2","RAB11FIP2",-0.116006739,-0.303743079,-0.29030146,-0.075912697,0.047832547,0.029146459,-0.23411617,0.001375058,0.863409293,"OTHER"
3866,"Q7L8J4","SH3BP5L","SH3 domain-binding protein 5-like","SH3BP5L",0.250314995,0.342039943,0.372080037,-0.00789591,0.18137886,0.236089549,0.322401937,0.140257305,1,"OTHER"
3867,"Q7L9B9","EEPD1","Endonuclease/exonuclease/phosphatase family domain-containing protein 1","EEPD1",0.030422219,-0.013503726,0.12360173,-0.055410959,-0.20274211,0.046997373,0.047978457,-0.066764644,1,"OTHER"
3868,"Q7LBC6","KDM3B","Lysine-specific demethylase 3B","KDM3B",-0.084866461,-0.355751442,-0.212353774,-0.291449189,-0.121195558,-0.030808291,-0.21342472,-0.143809448,1,"OTHER"
3869,"Q7LBR1","CHMP1B","Charged multivesicular body protein 1b","CHMP1B",-0.430616539,0.377984341,0.128980397,-0.224046036,-0.23641964,0.255165235,0.063498433,-0.049664629,1,"OTHER"
3871,"Q7LG56","RRM2B","Ribonucleoside-diphosphate reductase subunit M2 B","RRM2B",-0.336184815,-0.032410797,0.203616573,-0.033387001,0.306023538,0.012865038,-0.038253266,0.103162474,1,"OTHER"
3872,"Q7RTP6","MICAL3","Protein-methionine sulfoxide oxidase MICAL3","MICAL3",0.285329198,0.022606214,0.223204354,0.025697194,0.196628016,0.086615507,0.181337773,0.104723261,1,"OTHER"
3873,"Q7RTV0","PHF5A","PHD finger-like domain-containing protein 5A","PHF5A",-0.036735538,-0.159098586,0.240109172,0.499223412,0.350226647,0.308566916,0.024567823,0.388351297,0.314371849,"OTHER"
3874,"Q7RTV5","AAED1","Thioredoxin-like protein AAED1","AAED1",-0.130243379,-0.069255181,-0.150213281,0.355559998,0.190208908,0.581057398,-0.116157919,0.38454953,0.077498034,"OTHER"
3876,"Q7Z2K6","ERMP1","Endoplasmic reticulum metallopeptidase 1","ERMP1",0.344511291,0.302486396,-0.178895404,1.02959353,0.507925863,0.410725049,0.174776232,0.675908368,0.076372743,"OTHER"
3877,"Q7Z2T5","TRMT1L","TRMT1-like protein","TRMT1L",-0.255957115,0.128785931,0.295111539,0.328340558,0.153357685,-0.024306981,0.073950184,0.159636084,1,"OTHER"
3878,"Q7Z2W4","ZC3HAV1","Zinc finger CCCH-type antiviral protein 1","ZC3HAV1",0.032459999,0.097774638,0.026177732,-0.113328385,0.063369932,-0.077698696,0.052502493,-0.040514486,1,"OTHER"
3880,"Q7Z2Z2","EFTUD1","Elongation factor Tu GTP-binding domain-containing protein 1","EFTUD1",-0.145640186,-0.034266704,0.020290183,7.89241254645268e-05,-0.07104579,-0.087477823,-0.051563819,-0.052311853,1,"OTHER"
3882,"Q7Z392","TRAPPC11","Trafficking protein particle complex subunit 11","TRAPPC11",0.327828056,0.131375019,0.300442895,-0.078605448,0.208715516,0.119991587,0.255795577,0.088304406,1,"OTHER"
3883,"Q7Z3B1","NEGR1","Neuronal growth regulator 1","NEGR1",0.302753092,-0.022314296,-0.072597443,0.265858565,0.053585911,-0.095312394,0.0790981,0.082367532,1,"OTHER"
3885,"Q7Z3B4","NUP54","Nucleoporin p54","NUP54",0.194888959,-0.101200083,-0.114264728,0.00760466,0.141229798,-0.012629092,0.000358839,0.047033096,1,"OTHER"
3886,"Q7Z3C6","ATG9A","Autophagy-related protein 9A","ATG9A",0.055561212,0.116333956,0.07412778,0.065242913,0.121564573,0.113914544,0.082232308,0.100455482,1,"OTHER"
3888,"Q7Z3D6","C14orf159","UPF0317 protein C14orf159, mitochondrial","C14orf159",-0.147712756,0.14916518,0.063332572,0.015590049,-0.05796743,0.008618648,0.026910816,-0.010873969,1,"OTHER"
3889,"Q7Z3E5","ARMC9","LisH domain-containing protein ARMC9","ARMC9",0.175991908,-0.080102737,-0.063801775,0.147517369,0.118167961,0.089024013,0.015531234,0.118434078,1,"OTHER"
3891,"Q7Z3G6","PRICKLE2","Prickle-like protein 2","PRICKLE2",-0.064451581,-0.367014455,-0.321742201,0.144777387,0.074369553,-0.497914249,-0.244800595,-0.065626583,1,"OTHER"
3892,"Q7Z3J2","C16orf62","UPF0505 protein C16orf62","C16orf62",-0.065003824,-0.067198519,0.064988202,0.020048573,0.065899242,-0.012368221,-0.021067913,0.024884371,1,"OTHER"
3893,"Q7Z3K3","POGZ","Pogo transposable element with ZNF domain","POGZ",-0.035035074,0.030842696,0.06036778,-0.566108679,0.185408238,-0.46156065,0.019274089,-0.240829891,0.58366817,"OTHER"
3895,"Q7Z3T8","ZFYVE16","Zinc finger FYVE domain-containing protein 16","ZFYVE16",-0.04888037,-0.165219881,-0.045436019,-0.05481229,-0.079663691,0.0022551,-0.085447844,-0.04366463,1,"OTHER"
3896,"Q7Z3U7","MON2","Protein MON2 homolog","MON2",0.05007215,0.048792114,0.092366706,0.059789004,-0.013397847,0.064500174,0.063886187,0.037401997,1,"OTHER"
3897,"Q7Z3V4","UBE3B","Ubiquitin-protein ligase E3B","UBE3B",1.060126597,0.363222023,0.2338032,-0.338150019,0.228159931,-0.169172635,0.600060609,-0.073116188,0.005534724,"PROP"
3898,"Q7Z401","DENND4A","C-myc promoter-binding protein","DENND4A",-0.130668402,-0.100460083,0.179702744,-0.199858091,-0.022138691,0.008272457,-0.010234073,-0.068363096,1,"OTHER"
3899,"Q7Z406","MYH14","Myosin-14","MYH14",-0.086143075,0.274590835,0.202464309,-0.112544386,0.374452587,0.038831075,0.138530956,0.114848539,1,"OTHER"
3900,"Q7Z417","NUFIP2","Nuclear fragile X mental retardation-interacting protein 2","NUFIP2",-0.308973857,-0.201612958,-0.230387361,0.100054732,-0.111441245,-0.022660716,-0.246281655,-0.008734255,0.870384507,"OTHER"
3901,"Q7Z422","SZRD1","SUZ domain-containing protein 1","SZRD1",-0.003681907,-0.08417103,-0.168055869,0.211530927,-0.007162035,0.079332867,-0.08374308,0.097383178,1,"OTHER"
3902,"Q7Z434","MAVS","Mitochondrial antiviral-signaling protein","MAVS",0.218185132,0.115980524,-0.247297269,-0.02258204,-0.330466814,0.022612894,0.042389328,-0.101832495,1,"OTHER"
3903,"Q7Z449","CYP2U1","Cytochrome P450 2U1","CYP2U1",0.401285743,0.465498767,1.519694333,0.158825903,0.261319178,0.055037733,0.892399305,0.160850792,0.006489218,"OTHER"
3904,"Q7Z460","CLASP1","CLIP-associating protein 1","CLASP1",-0.039289391,-0.095912118,0.094572392,-0.100143947,0.077519029,-0.140622094,-0.011314813,-0.051264762,1,"OTHER"
3905,"Q7Z478","DHX29","ATP-dependent RNA helicase DHX29","DHX29",0.154403441,0.163899787,0.18453489,-0.053410815,0.133359565,0.090296252,0.167667603,0.058934802,1,"OTHER"
3907,"Q7Z4F1","LRP10","Low-density lipoprotein receptor-related protein 10","LRP10",0.461374838,-1.17305881,0.898918582,-0.111483821,0.697174894,0.052607264,0.296702549,0.256648346,1,"OTHER"
3908,"Q7Z4G1","COMMD6","COMM domain-containing protein 6","COMMD6",-0.27362747,0.021344143,-0.068764749,0.046693871,0.044933373,-0.02165294,-0.101806835,0.023673665,1,"OTHER"
3909,"Q7Z4G4","TRMT11","tRNA (guanine(10)-N2)-methyltransferase homolog","TRMT11",0.045446954,-0.104157167,0.022147017,-0.113476563,0.107096137,-0.183134655,-0.010705599,-0.057790453,1,"OTHER"
