"id","uniprot","main_gene","Protein.names","Gene.names","up_low_log2_rep1","up_low_log2_rep2","up_low_log2_rep3","down_high_log2_rep1","down_high_log2_rep2","down_high_log2_rep3","log2_avg_upfc","log2_avg_downfc","qVal","directionfc"
2303,"Q3UM18","Lsg1","Large subunit GTPase 1 homolog","Lsg1",0.283085101,0.151463531,0.0678031,-0.061732681,-0.121294425,0.015234053,0.170185384,-0.054846538,1,"OTHER"
2304,"Q3UM29","Cog7","Conserved oligomeric Golgi complex subunit 7","Cog7",0.169904635,0.224975978,-0.11466103,0.015644232,-0.180463564,-0.191802092,0.10090644,-0.115684147,1,"OTHER"
2305,"Q3UM45","Ppp1r7","Protein phosphatase 1 regulatory subunit 7","Ppp1r7",-0.019688279,0.134083017,0.068361775,0.015855225,0.055757628,0.15155369,0.062290421,0.075519154,1,"OTHER"
2307,"Q3UMB9","Kiaa1033","WASH complex subunit 7","Kiaa1033",0.045561826,0.001436377,-0.247386373,-0.009727793,0.174519044,-0.033301534,-0.061148495,0.046863297,1,"OTHER"
2308,"Q3UMC0","Spata5","Spermatogenesis-associated protein 5","Spata5",-0.019264645,-0.094034002,-0.016264221,-0.082465293,-0.066884701,0.011364698,-0.042741751,-0.045407499,1,"OTHER"
2309,"Q3UMF0","Cobll1","Cordon-bleu protein-like 1","Cobll1",0.441506477,-0.538821263,-0.8401759,0.782659613,1.166255321,-0.287291076,-0.203717795,0.673261734,0.0012472,"INV"
2310,"Q3UMF0-2","Cobll1","Cordon-bleu protein-like 1","Cobll1",-0.100691343,-0.203928795,-0.229288257,0.009198136,-0.026658744,0.153894676,-0.176889425,0.047611055,1,"OTHER"
2311,"Q3UMQ8","Naf1","H/ACA ribonucleoprotein complex non-core subunit NAF1","Naf1",0.530753809,0.232630308,0.233087817,-0.009267678,0.227112331,-0.321214898,0.339140015,-0.017182427,0.629322108,"OTHER"
2312,"Q3UMR5","Mcu","Calcium uniporter protein, mitochondrial","Mcu",-0.04201399,-0.045871025,0.074785999,-0.075896571,0.059467478,-0.098660592,-0.003270128,-0.036657574,1,"OTHER"
2313,"Q3UMT1","Ppp1r12c","Protein phosphatase 1 regulatory subunit 12C","Ppp1r12c",0.105217048,-0.020365741,0.017938392,-0.026636853,-0.006476715,-0.014593467,0.035225291,-0.015878583,1,"OTHER"
2314,"Q3UMU9","Hdgfrp2","Hepatoma-derived growth factor-related protein 2","Hdgfrp2",-0.014480407,-0.159162847,-0.166190215,-0.072765412,0.230201045,0.121442668,-0.111564837,0.098345088,1,"OTHER"
2315,"Q3UMW7","Mapkapk3","MAP kinase-activated protein kinase 3","Mapkapk3",0.112389997,0.065362763,0.061455824,-0.137416949,-0.274771897,0.118043387,0.079922528,-0.088761731,1,"OTHER"
2316,"Q3UMW8","Cln5","Ceroid-lipofuscinosis neuronal protein 5 homolog","Cln5",-0.053416481,-0.014712523,-0.070420803,0.062590201,-0.053958227,-0.063203914,-0.045994507,-0.017044733,1,"OTHER"
2317,"Q3UMY5","Eml4","Echinoderm microtubule-associated protein-like 4","Eml4",-0.024525603,-0.21303387,-0.318070672,-0.182043412,-0.35134493,0.053243259,-0.180055679,-0.150453546,1,"OTHER"
2318,"Q3UN02","Lclat1","Lysocardiolipin acyltransferase 1","Lclat1",0.118356016,0.01549193,0.026962382,0.076160827,0.010819571,-0.0204231,0.054342785,0.022749024,1,"OTHER"
2320,"Q3UPF5","Zc3hav1","Zinc finger CCCH-type antiviral protein 1","Zc3hav1",-0.18719577,0.069535783,-0.464291978,-0.382551419,-0.042454027,-0.257253453,-0.177600528,-0.220524029,1,"OTHER"
2321,"Q3UPH1","Prrc1","Protein PRRC1","Prrc1",-0.030966307,0.092159915,0.2412843,-0.024687262,0.204567601,-0.022264058,0.105129971,0.056611637,1,"OTHER"
2322,"Q3UPH7","Arhgef40","Rho guanine nucleotide exchange factor 40","Arhgef40",-0.106302664,-0.334632498,0.081981405,-0.078232676,0.128317133,0.032350994,-0.10965831,0.02994169,1,"OTHER"
2323,"Q3UPI1","Fam198b","Protein FAM198B","Fam198b",0.268757836,0.160685759,-0.004834503,-0.239852689,0.023201805,0.201694296,0.145891753,0.006282335,1,"OTHER"
2324,"Q3UPL0","Sec31a","Protein transport protein Sec31A","Sec31a",-0.016819531,0.090605411,0.052295855,-0.075929559,0.026559291,-0.010030036,0.042709669,-0.01917893,1,"OTHER"
